NL Sentence
"In frame 6 of sequence 'adl-01', the person is normal. The body height to width ratio is 6.32, major to minor axis ratio is 8.22, bounding box occupancy is 0.49, spread on XZ axes is 140.77, height-to-standing ratio is 0.96, body height is 1761.2 mm, distance from floor is 927.3 mm, and floor contact ratio is 0.0261."
"In frame 136 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.61, major to minor axis ratio is 2.94, bounding box occupancy is 0.58, spread on XZ axes is 144.18, height-to-standing ratio is 0.97, body height is 1786.4 mm, distance from floor is 944.5 mm, and floor contact ratio is 0.1487."
"In frame 137 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.66, major to minor axis ratio is 2.98, bounding box occupancy is 0.59, spread on XZ axes is 142.42, height-to-standing ratio is 0.97, body height is 1786.9 mm, distance from floor is 948.5 mm, and floor contact ratio is 0.1448."
"In frame 138 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.71, major to minor axis ratio is 3.06, bounding box occupancy is 0.61, spread on XZ axes is 139.98, height-to-standing ratio is 0.97, body height is 1782.0 mm, distance from floor is 940.6 mm, and floor contact ratio is 0.1534."
"In frame 139 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.76, major to minor axis ratio is 3.10, bounding box occupancy is 0.61, spread on XZ axes is 137.68, height-to-standing ratio is 0.96, body height is 1774.2 mm, distance from floor is 945.5 mm, and floor contact ratio is 0.1485."
"In frame 140 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.84, major to minor axis ratio is 3.14, bounding box occupancy is 0.61, spread on XZ axes is 135.07, height-to-standing ratio is 0.97, body height is 1789.3 mm, distance from floor is 948.9 mm, and floor contact ratio is 0.1450."
"In frame 141 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.84, major to minor axis ratio is 3.17, bounding box occupancy is 0.61, spread on XZ axes is 134.06, height-to-standing ratio is 0.97, body height is 1793.6 mm, distance from floor is 948.1 mm, and floor contact ratio is 0.1461."
"In frame 142 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.89, major to minor axis ratio is 3.19, bounding box occupancy is 0.61, spread on XZ axes is 132.75, height-to-standing ratio is 0.97, body height is 1792.3 mm, distance from floor is 951.7 mm, and floor contact ratio is 0.1437."
"In frame 143 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.88, major to minor axis ratio is 3.21, bounding box occupancy is 0.61, spread on XZ axes is 131.40, height-to-standing ratio is 0.98, body height is 1802.1 mm, distance from floor is 957.2 mm, and floor contact ratio is 0.1395."
"In frame 144 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.86, major to minor axis ratio is 3.21, bounding box occupancy is 0.60, spread on XZ axes is 131.84, height-to-standing ratio is 0.98, body height is 1803.3 mm, distance from floor is 959.6 mm, and floor contact ratio is 0.1382."
"In frame 145 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.89, major to minor axis ratio is 3.19, bounding box occupancy is 0.61, spread on XZ axes is 133.14, height-to-standing ratio is 0.98, body height is 1805.0 mm, distance from floor is 963.0 mm, and floor contact ratio is 0.1373."
"In frame 146 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.88, major to minor axis ratio is 3.12, bounding box occupancy is 0.61, spread on XZ axes is 134.07, height-to-standing ratio is 0.97, body height is 1787.6 mm, distance from floor is 977.4 mm, and floor contact ratio is 0.1223."
"In frame 147 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.87, major to minor axis ratio is 3.08, bounding box occupancy is 0.60, spread on XZ axes is 134.90, height-to-standing ratio is 0.98, body height is 1810.5 mm, distance from floor is 986.2 mm, and floor contact ratio is 0.1121."
"In frame 148 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.80, major to minor axis ratio is 3.09, bounding box occupancy is 0.60, spread on XZ axes is 136.74, height-to-standing ratio is 0.98, body height is 1803.0 mm, distance from floor is 981.8 mm, and floor contact ratio is 0.1193."
"In frame 149 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.80, major to minor axis ratio is 3.03, bounding box occupancy is 0.60, spread on XZ axes is 138.23, height-to-standing ratio is 0.98, body height is 1800.2 mm, distance from floor is 993.9 mm, and floor contact ratio is 0.1069."
"In frame 150 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.78, major to minor axis ratio is 3.04, bounding box occupancy is 0.59, spread on XZ axes is 139.85, height-to-standing ratio is 0.98, body height is 1805.2 mm, distance from floor is 989.2 mm, and floor contact ratio is 0.1113."
"In frame 151 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.80, major to minor axis ratio is 3.06, bounding box occupancy is 0.60, spread on XZ axes is 141.02, height-to-standing ratio is 0.97, body height is 1790.0 mm, distance from floor is 981.7 mm, and floor contact ratio is 0.1193."
"In frame 152 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.80, major to minor axis ratio is 3.10, bounding box occupancy is 0.60, spread on XZ axes is 141.86, height-to-standing ratio is 0.97, body height is 1791.8 mm, distance from floor is 977.8 mm, and floor contact ratio is 0.1238."
"In frame 153 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.84, major to minor axis ratio is 3.16, bounding box occupancy is 0.61, spread on XZ axes is 143.10, height-to-standing ratio is 0.98, body height is 1801.8 mm, distance from floor is 975.1 mm, and floor contact ratio is 0.1292."
"In frame 154 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.81, major to minor axis ratio is 3.23, bounding box occupancy is 0.61, spread on XZ axes is 142.61, height-to-standing ratio is 0.97, body height is 1788.5 mm, distance from floor is 967.9 mm, and floor contact ratio is 0.1340."
"In frame 155 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.83, major to minor axis ratio is 3.39, bounding box occupancy is 0.61, spread on XZ axes is 138.45, height-to-standing ratio is 0.97, body height is 1791.4 mm, distance from floor is 952.4 mm, and floor contact ratio is 0.1457."
"In frame 156 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.92, major to minor axis ratio is 3.44, bounding box occupancy is 0.62, spread on XZ axes is 138.56, height-to-standing ratio is 0.97, body height is 1782.0 mm, distance from floor is 952.9 mm, and floor contact ratio is 0.1469."
"In frame 157 of sequence 'adl-13', the person is normal. The body height to width ratio is 3.03, major to minor axis ratio is 3.54, bounding box occupancy is 0.63, spread on XZ axes is 138.34, height-to-standing ratio is 0.98, body height is 1795.6 mm, distance from floor is 948.9 mm, and floor contact ratio is 0.1527."
"In frame 158 of sequence 'adl-13', the person is normal. The body height to width ratio is 3.08, major to minor axis ratio is 3.65, bounding box occupancy is 0.64, spread on XZ axes is 137.28, height-to-standing ratio is 0.98, body height is 1804.7 mm, distance from floor is 949.6 mm, and floor contact ratio is 0.1532."
"In frame 159 of sequence 'adl-13', the person is normal. The body height to width ratio is 3.19, major to minor axis ratio is 3.70, bounding box occupancy is 0.66, spread on XZ axes is 136.42, height-to-standing ratio is 0.97, body height is 1781.7 mm, distance from floor is 950.7 mm, and floor contact ratio is 0.1505."
"In frame 160 of sequence 'adl-13', the person is normal. The body height to width ratio is 3.28, major to minor axis ratio is 3.77, bounding box occupancy is 0.65, spread on XZ axes is 134.48, height-to-standing ratio is 0.98, body height is 1800.1 mm, distance from floor is 953.7 mm, and floor contact ratio is 0.1466."
"In frame 161 of sequence 'adl-13', the person is normal. The body height to width ratio is 3.28, major to minor axis ratio is 3.84, bounding box occupancy is 0.64, spread on XZ axes is 132.11, height-to-standing ratio is 0.98, body height is 1797.9 mm, distance from floor is 952.5 mm, and floor contact ratio is 0.1443."
"In frame 162 of sequence 'adl-13', the person is normal. The body height to width ratio is 3.14, major to minor axis ratio is 3.89, bounding box occupancy is 0.61, spread on XZ axes is 131.29, height-to-standing ratio is 0.97, body height is 1782.1 mm, distance from floor is 952.0 mm, and floor contact ratio is 0.1447."
"In frame 163 of sequence 'adl-13', the person is normal. The body height to width ratio is 3.04, major to minor axis ratio is 3.97, bounding box occupancy is 0.57, spread on XZ axes is 127.96, height-to-standing ratio is 0.97, body height is 1784.0 mm, distance from floor is 947.9 mm, and floor contact ratio is 0.1459."
"In frame 164 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.97, major to minor axis ratio is 3.97, bounding box occupancy is 0.56, spread on XZ axes is 128.23, height-to-standing ratio is 0.97, body height is 1780.3 mm, distance from floor is 946.2 mm, and floor contact ratio is 0.1473."
"In frame 165 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.87, major to minor axis ratio is 3.98, bounding box occupancy is 0.54, spread on XZ axes is 126.91, height-to-standing ratio is 0.96, body height is 1761.0 mm, distance from floor is 942.4 mm, and floor contact ratio is 0.1487."
"In frame 166 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.74, major to minor axis ratio is 3.93, bounding box occupancy is 0.52, spread on XZ axes is 126.67, height-to-standing ratio is 0.96, body height is 1761.1 mm, distance from floor is 937.3 mm, and floor contact ratio is 0.1484."
"In frame 167 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.66, major to minor axis ratio is 3.82, bounding box occupancy is 0.52, spread on XZ axes is 129.41, height-to-standing ratio is 0.96, body height is 1760.1 mm, distance from floor is 933.8 mm, and floor contact ratio is 0.1465."
"In frame 168 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.60, major to minor axis ratio is 3.74, bounding box occupancy is 0.51, spread on XZ axes is 129.68, height-to-standing ratio is 0.96, body height is 1760.4 mm, distance from floor is 923.9 mm, and floor contact ratio is 0.1478."
"In frame 169 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.51, major to minor axis ratio is 3.62, bounding box occupancy is 0.49, spread on XZ axes is 131.39, height-to-standing ratio is 0.94, body height is 1725.2 mm, distance from floor is 919.9 mm, and floor contact ratio is 0.1455."
"In frame 170 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.45, major to minor axis ratio is 3.54, bounding box occupancy is 0.48, spread on XZ axes is 133.55, height-to-standing ratio is 0.93, body height is 1715.7 mm, distance from floor is 916.5 mm, and floor contact ratio is 0.1456."
"In frame 171 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.40, major to minor axis ratio is 3.44, bounding box occupancy is 0.47, spread on XZ axes is 134.25, height-to-standing ratio is 0.93, body height is 1705.8 mm, distance from floor is 912.3 mm, and floor contact ratio is 0.1438."
"In frame 172 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.29, major to minor axis ratio is 3.34, bounding box occupancy is 0.47, spread on XZ axes is 137.17, height-to-standing ratio is 0.91, body height is 1674.0 mm, distance from floor is 909.0 mm, and floor contact ratio is 0.1432."
"In frame 173 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.21, major to minor axis ratio is 3.23, bounding box occupancy is 0.45, spread on XZ axes is 138.74, height-to-standing ratio is 0.90, body height is 1659.1 mm, distance from floor is 898.8 mm, and floor contact ratio is 0.1439."
"In frame 174 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.09, major to minor axis ratio is 3.06, bounding box occupancy is 0.45, spread on XZ axes is 142.07, height-to-standing ratio is 0.88, body height is 1610.5 mm, distance from floor is 887.2 mm, and floor contact ratio is 0.1433."
"In frame 175 of sequence 'adl-13', the person is normal. The body height to width ratio is 2.05, major to minor axis ratio is 2.95, bounding box occupancy is 0.46, spread on XZ axes is 144.25, height-to-standing ratio is 0.86, body height is 1575.0 mm, distance from floor is 873.1 mm, and floor contact ratio is 0.1457."
"In frame 176 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.96, major to minor axis ratio is 2.80, bounding box occupancy is 0.45, spread on XZ axes is 147.46, height-to-standing ratio is 0.85, body height is 1560.8 mm, distance from floor is 855.1 mm, and floor contact ratio is 0.1492."
"In frame 177 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.89, major to minor axis ratio is 2.68, bounding box occupancy is 0.45, spread on XZ axes is 150.20, height-to-standing ratio is 0.82, body height is 1515.8 mm, distance from floor is 839.0 mm, and floor contact ratio is 0.1496."
"In frame 178 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.79, major to minor axis ratio is 2.53, bounding box occupancy is 0.45, spread on XZ axes is 151.79, height-to-standing ratio is 0.80, body height is 1466.1 mm, distance from floor is 819.7 mm, and floor contact ratio is 0.1514."
"In frame 179 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.70, major to minor axis ratio is 2.41, bounding box occupancy is 0.45, spread on XZ axes is 153.74, height-to-standing ratio is 0.77, body height is 1421.5 mm, distance from floor is 802.6 mm, and floor contact ratio is 0.1539."
"In frame 180 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.63, major to minor axis ratio is 2.28, bounding box occupancy is 0.47, spread on XZ axes is 156.75, height-to-standing ratio is 0.75, body height is 1379.6 mm, distance from floor is 785.4 mm, and floor contact ratio is 0.1551."
"In frame 181 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.58, major to minor axis ratio is 2.18, bounding box occupancy is 0.46, spread on XZ axes is 159.49, height-to-standing ratio is 0.74, body height is 1359.4 mm, distance from floor is 768.4 mm, and floor contact ratio is 0.1574."
"In frame 182 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.52, major to minor axis ratio is 2.07, bounding box occupancy is 0.47, spread on XZ axes is 161.49, height-to-standing ratio is 0.71, body height is 1308.3 mm, distance from floor is 750.2 mm, and floor contact ratio is 0.1609."
"In frame 183 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.45, major to minor axis ratio is 1.97, bounding box occupancy is 0.47, spread on XZ axes is 164.62, height-to-standing ratio is 0.69, body height is 1277.6 mm, distance from floor is 733.4 mm, and floor contact ratio is 0.1631."
"In frame 184 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.41, major to minor axis ratio is 1.92, bounding box occupancy is 0.48, spread on XZ axes is 164.15, height-to-standing ratio is 0.67, body height is 1229.8 mm, distance from floor is 720.0 mm, and floor contact ratio is 0.1649."
"In frame 185 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.36, major to minor axis ratio is 1.82, bounding box occupancy is 0.48, spread on XZ axes is 168.55, height-to-standing ratio is 0.65, body height is 1203.6 mm, distance from floor is 702.1 mm, and floor contact ratio is 0.1669."
"In frame 186 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.33, major to minor axis ratio is 1.78, bounding box occupancy is 0.48, spread on XZ axes is 168.69, height-to-standing ratio is 0.64, body height is 1184.1 mm, distance from floor is 690.7 mm, and floor contact ratio is 0.1719."
"In frame 187 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.29, major to minor axis ratio is 1.69, bounding box occupancy is 0.50, spread on XZ axes is 174.45, height-to-standing ratio is 0.63, body height is 1150.3 mm, distance from floor is 676.6 mm, and floor contact ratio is 0.1693."
"In frame 188 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.23, major to minor axis ratio is 1.64, bounding box occupancy is 0.51, spread on XZ axes is 175.73, height-to-standing ratio is 0.61, body height is 1117.4 mm, distance from floor is 665.1 mm, and floor contact ratio is 0.1731."
"In frame 189 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.22, major to minor axis ratio is 1.59, bounding box occupancy is 0.51, spread on XZ axes is 175.19, height-to-standing ratio is 0.60, body height is 1106.2 mm, distance from floor is 651.3 mm, and floor contact ratio is 0.1861."
"In frame 190 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.20, major to minor axis ratio is 1.57, bounding box occupancy is 0.51, spread on XZ axes is 175.60, height-to-standing ratio is 0.59, body height is 1081.8 mm, distance from floor is 640.5 mm, and floor contact ratio is 0.1939."
"In frame 191 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.17, major to minor axis ratio is 1.52, bounding box occupancy is 0.53, spread on XZ axes is 176.79, height-to-standing ratio is 0.58, body height is 1061.1 mm, distance from floor is 629.2 mm, and floor contact ratio is 0.2006."
"In frame 192 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.16, major to minor axis ratio is 1.50, bounding box occupancy is 0.53, spread on XZ axes is 177.72, height-to-standing ratio is 0.57, body height is 1045.0 mm, distance from floor is 619.0 mm, and floor contact ratio is 0.2050."
"In frame 193 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.12, major to minor axis ratio is 1.48, bounding box occupancy is 0.53, spread on XZ axes is 179.43, height-to-standing ratio is 0.56, body height is 1032.8 mm, distance from floor is 609.7 mm, and floor contact ratio is 0.2098."
"In frame 194 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.12, major to minor axis ratio is 1.48, bounding box occupancy is 0.53, spread on XZ axes is 180.02, height-to-standing ratio is 0.56, body height is 1027.2 mm, distance from floor is 599.4 mm, and floor contact ratio is 0.2146."
"In frame 195 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.13, major to minor axis ratio is 1.48, bounding box occupancy is 0.53, spread on XZ axes is 181.12, height-to-standing ratio is 0.56, body height is 1034.6 mm, distance from floor is 593.8 mm, and floor contact ratio is 0.2162."
"In frame 196 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.13, major to minor axis ratio is 1.48, bounding box occupancy is 0.54, spread on XZ axes is 181.63, height-to-standing ratio is 0.55, body height is 1009.1 mm, distance from floor is 588.0 mm, and floor contact ratio is 0.2163."
"In frame 197 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.10, major to minor axis ratio is 1.48, bounding box occupancy is 0.54, spread on XZ axes is 182.30, height-to-standing ratio is 0.55, body height is 1007.1 mm, distance from floor is 581.6 mm, and floor contact ratio is 0.2198."
"In frame 198 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.14, major to minor axis ratio is 1.48, bounding box occupancy is 0.56, spread on XZ axes is 182.78, height-to-standing ratio is 0.55, body height is 1008.6 mm, distance from floor is 575.8 mm, and floor contact ratio is 0.2241."
"In frame 199 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.10, major to minor axis ratio is 1.46, bounding box occupancy is 0.56, spread on XZ axes is 182.70, height-to-standing ratio is 0.55, body height is 1008.4 mm, distance from floor is 573.2 mm, and floor contact ratio is 0.2245."
"In frame 200 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.12, major to minor axis ratio is 1.47, bounding box occupancy is 0.57, spread on XZ axes is 181.48, height-to-standing ratio is 0.54, body height is 990.9 mm, distance from floor is 566.4 mm, and floor contact ratio is 0.2318."
"In frame 201 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.09, major to minor axis ratio is 1.47, bounding box occupancy is 0.57, spread on XZ axes is 180.76, height-to-standing ratio is 0.54, body height is 988.9 mm, distance from floor is 563.7 mm, and floor contact ratio is 0.2334."
"In frame 202 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.11, major to minor axis ratio is 1.46, bounding box occupancy is 0.58, spread on XZ axes is 179.73, height-to-standing ratio is 0.53, body height is 981.5 mm, distance from floor is 561.2 mm, and floor contact ratio is 0.2352."
"In frame 203 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.15, major to minor axis ratio is 1.47, bounding box occupancy is 0.57, spread on XZ axes is 178.27, height-to-standing ratio is 0.54, body height is 993.6 mm, distance from floor is 559.8 mm, and floor contact ratio is 0.2371."
"In frame 204 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.14, major to minor axis ratio is 1.48, bounding box occupancy is 0.57, spread on XZ axes is 179.11, height-to-standing ratio is 0.54, body height is 995.4 mm, distance from floor is 559.7 mm, and floor contact ratio is 0.2383."
"In frame 205 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.14, major to minor axis ratio is 1.46, bounding box occupancy is 0.57, spread on XZ axes is 178.58, height-to-standing ratio is 0.54, body height is 989.2 mm, distance from floor is 557.5 mm, and floor contact ratio is 0.2387."
"In frame 206 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.14, major to minor axis ratio is 1.47, bounding box occupancy is 0.57, spread on XZ axes is 178.82, height-to-standing ratio is 0.54, body height is 987.3 mm, distance from floor is 558.1 mm, and floor contact ratio is 0.2403."
"In frame 207 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.15, major to minor axis ratio is 1.46, bounding box occupancy is 0.58, spread on XZ axes is 178.34, height-to-standing ratio is 0.54, body height is 985.4 mm, distance from floor is 555.9 mm, and floor contact ratio is 0.2424."
"In frame 208 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.12, major to minor axis ratio is 1.47, bounding box occupancy is 0.57, spread on XZ axes is 179.30, height-to-standing ratio is 0.53, body height is 981.6 mm, distance from floor is 557.6 mm, and floor contact ratio is 0.2404."
"In frame 209 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.14, major to minor axis ratio is 1.48, bounding box occupancy is 0.57, spread on XZ axes is 178.57, height-to-standing ratio is 0.54, body height is 986.1 mm, distance from floor is 558.6 mm, and floor contact ratio is 0.2399."
"In frame 210 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.12, major to minor axis ratio is 1.47, bounding box occupancy is 0.58, spread on XZ axes is 178.81, height-to-standing ratio is 0.53, body height is 983.6 mm, distance from floor is 561.0 mm, and floor contact ratio is 0.2347."
"In frame 211 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.15, major to minor axis ratio is 1.49, bounding box occupancy is 0.56, spread on XZ axes is 178.41, height-to-standing ratio is 0.54, body height is 995.3 mm, distance from floor is 559.3 mm, and floor contact ratio is 0.2394."
"In frame 212 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.10, major to minor axis ratio is 1.48, bounding box occupancy is 0.57, spread on XZ axes is 178.53, height-to-standing ratio is 0.54, body height is 985.0 mm, distance from floor is 560.4 mm, and floor contact ratio is 0.2372."
"In frame 213 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.14, major to minor axis ratio is 1.48, bounding box occupancy is 0.57, spread on XZ axes is 178.06, height-to-standing ratio is 0.54, body height is 984.7 mm, distance from floor is 558.3 mm, and floor contact ratio is 0.2407."
"In frame 214 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.14, major to minor axis ratio is 1.49, bounding box occupancy is 0.57, spread on XZ axes is 178.01, height-to-standing ratio is 0.54, body height is 999.4 mm, distance from floor is 559.7 mm, and floor contact ratio is 0.2390."
"In frame 215 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.13, major to minor axis ratio is 1.50, bounding box occupancy is 0.58, spread on XZ axes is 177.08, height-to-standing ratio is 0.53, body height is 982.9 mm, distance from floor is 559.2 mm, and floor contact ratio is 0.2395."
"In frame 216 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.17, major to minor axis ratio is 1.49, bounding box occupancy is 0.57, spread on XZ axes is 175.99, height-to-standing ratio is 0.54, body height is 998.9 mm, distance from floor is 559.5 mm, and floor contact ratio is 0.2394."
"In frame 217 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.16, major to minor axis ratio is 1.51, bounding box occupancy is 0.58, spread on XZ axes is 175.51, height-to-standing ratio is 0.54, body height is 999.2 mm, distance from floor is 559.8 mm, and floor contact ratio is 0.2376."
"In frame 218 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.18, major to minor axis ratio is 1.51, bounding box occupancy is 0.56, spread on XZ axes is 176.00, height-to-standing ratio is 0.55, body height is 1019.3 mm, distance from floor is 559.8 mm, and floor contact ratio is 0.2398."
"In frame 219 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.17, major to minor axis ratio is 1.51, bounding box occupancy is 0.57, spread on XZ axes is 176.73, height-to-standing ratio is 0.55, body height is 1009.1 mm, distance from floor is 563.9 mm, and floor contact ratio is 0.2374."
"In frame 220 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.16, major to minor axis ratio is 1.50, bounding box occupancy is 0.58, spread on XZ axes is 176.23, height-to-standing ratio is 0.55, body height is 1003.2 mm, distance from floor is 567.5 mm, and floor contact ratio is 0.2319."
"In frame 221 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.17, major to minor axis ratio is 1.50, bounding box occupancy is 0.57, spread on XZ axes is 176.10, height-to-standing ratio is 0.55, body height is 1015.8 mm, distance from floor is 572.1 mm, and floor contact ratio is 0.2274."
"In frame 222 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.22, major to minor axis ratio is 1.52, bounding box occupancy is 0.56, spread on XZ axes is 176.10, height-to-standing ratio is 0.56, body height is 1037.8 mm, distance from floor is 581.5 mm, and floor contact ratio is 0.2218."
"In frame 223 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.19, major to minor axis ratio is 1.51, bounding box occupancy is 0.56, spread on XZ axes is 175.42, height-to-standing ratio is 0.56, body height is 1034.3 mm, distance from floor is 588.0 mm, and floor contact ratio is 0.2136."
"In frame 224 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.22, major to minor axis ratio is 1.55, bounding box occupancy is 0.54, spread on XZ axes is 175.37, height-to-standing ratio is 0.57, body height is 1056.4 mm, distance from floor is 599.0 mm, and floor contact ratio is 0.2098."
"In frame 225 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.23, major to minor axis ratio is 1.58, bounding box occupancy is 0.54, spread on XZ axes is 172.88, height-to-standing ratio is 0.58, body height is 1066.1 mm, distance from floor is 609.7 mm, and floor contact ratio is 0.2049."
"In frame 226 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.24, major to minor axis ratio is 1.60, bounding box occupancy is 0.55, spread on XZ axes is 172.33, height-to-standing ratio is 0.59, body height is 1081.3 mm, distance from floor is 622.7 mm, and floor contact ratio is 0.1964."
"In frame 227 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.27, major to minor axis ratio is 1.62, bounding box occupancy is 0.55, spread on XZ axes is 170.45, height-to-standing ratio is 0.60, body height is 1101.2 mm, distance from floor is 631.4 mm, and floor contact ratio is 0.1954."
"In frame 228 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.29, major to minor axis ratio is 1.67, bounding box occupancy is 0.52, spread on XZ axes is 168.40, height-to-standing ratio is 0.61, body height is 1116.7 mm, distance from floor is 643.7 mm, and floor contact ratio is 0.1917."
"In frame 229 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.33, major to minor axis ratio is 1.71, bounding box occupancy is 0.52, spread on XZ axes is 167.88, height-to-standing ratio is 0.62, body height is 1142.3 mm, distance from floor is 659.6 mm, and floor contact ratio is 0.1820."
"In frame 230 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.33, major to minor axis ratio is 1.77, bounding box occupancy is 0.51, spread on XZ axes is 167.11, height-to-standing ratio is 0.64, body height is 1171.0 mm, distance from floor is 674.2 mm, and floor contact ratio is 0.1764."
"In frame 231 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.39, major to minor axis ratio is 1.80, bounding box occupancy is 0.51, spread on XZ axes is 164.96, height-to-standing ratio is 0.64, body height is 1184.5 mm, distance from floor is 687.9 mm, and floor contact ratio is 0.1727."
"In frame 232 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.39, major to minor axis ratio is 1.87, bounding box occupancy is 0.50, spread on XZ axes is 164.06, height-to-standing ratio is 0.66, body height is 1212.2 mm, distance from floor is 705.9 mm, and floor contact ratio is 0.1677."
"In frame 233 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.44, major to minor axis ratio is 1.94, bounding box occupancy is 0.50, spread on XZ axes is 162.92, height-to-standing ratio is 0.68, body height is 1247.3 mm, distance from floor is 722.8 mm, and floor contact ratio is 0.1617."
"In frame 234 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.46, major to minor axis ratio is 2.01, bounding box occupancy is 0.49, spread on XZ axes is 161.87, height-to-standing ratio is 0.69, body height is 1277.8 mm, distance from floor is 737.8 mm, and floor contact ratio is 0.1629."
"In frame 235 of sequence 'adl-13', the person is normal. The body height to width ratio is 1.47, major to minor axis ratio is 2.08, bounding box occupancy is 0.47, spread on XZ axes is 161.23, height-to-standing ratio is 0.70, body height is 1295.1 mm, distance from floor is 754.4 mm, and floor contact ratio is 0.1618."
